season,event_name,rank,name,money
2022,TOUR Championship,1,Rory McIlroy,18000000
2022,TOUR Championship,2,Sungjae Im,5750000
2022,TOUR Championship,2,Scottie Scheffler,5750000
2022,TOUR Championship,4,Xander Schauffele,4000000
2022,TOUR Championship,5,Justin Thomas,2750000
2022,TOUR Championship,5,Max Homa,2750000
2022,TOUR Championship,7,Patrick Cantlay,1750000
2022,TOUR Championship,7,Sepp Straka,1750000
2022,TOUR Championship,9,Tony Finau,1250000
2022,TOUR Championship,10,Tom Hoge,1000000
2022,TOUR Championship,11,Joaquin Niemann,925000
2022,TOUR Championship,11,Hideki Matsuyama,925000
2022,TOUR Championship,13,Aaron Wise,825000
2022,TOUR Championship,13,Jordan Spieth,825000
2022,TOUR Championship,15,J.T. Poston,715000
2022,TOUR Championship,15,Viktor Hovland,715000
2022,TOUR Championship,15,Matt Fitzpatrick,715000
2022,TOUR Championship,15,Jon Rahm,715000
2022,TOUR Championship,19,Cameron Young,660000
2022,TOUR Championship,20,Cameron Smith,640000
2022,TOUR Championship,21,Collin Morikawa,600000
2022,TOUR Championship,21,Brian Harman,600000
2022,TOUR Championship,21,Billy Horschel,600000
2022,TOUR Championship,24,Sam Burns,565000
2022,TOUR Championship,25,Adam Scott,550000
2022,TOUR Championship,26,Corey Conners,540000
2022,TOUR Championship,27,K.H. Lee,530000
2022,TOUR Championship,28,Sahith Theegala,520000
2022,TOUR Championship,29,Scott Stallings,510000
2021,TOUR Championship,1,Patrick Cantlay,15000000
2021,TOUR Championship,2,Jon Rahm,5000000
2021,TOUR Championship,3,Kevin Na,4000000
2021,TOUR Championship,4,Justin Thomas,3000000
2021,TOUR Championship,5,Xander Schauffele,2200000
2021,TOUR Championship,5,Viktor Hovland,2200000
2021,TOUR Championship,7,Bryson DeChambeau,1300000
2021,TOUR Championship,8,Dustin Johnson,1100000
2021,TOUR Championship,9,Billy Horschel,890000
2021,TOUR Championship,9,Abraham Ancer,890000
2021,TOUR Championship,11,Tony Finau,705000
2021,TOUR Championship,11,Jason Kokrak,705000
2021,TOUR Championship,11,Daniel Berger,705000
2021,TOUR Championship,14,Louis Oosthuizen,583750
2021,TOUR Championship,14,Sergio Garcia,583750
2021,TOUR Championship,14,Rory McIlroy,583750
2021,TOUR Championship,14,Cameron Smith,583750
2021,TOUR Championship,18,Harris English,527500
2021,TOUR Championship,18,Sam Burns,527500
2021,TOUR Championship,20,Sungjae Im,497500
2021,TOUR Championship,20,Jordan Spieth,497500
2021,TOUR Championship,22,Corey Conners,466666
2021,TOUR Championship,22,Erik van Rooyen,466666
2021,TOUR Championship,22,Scottie Scheffler,466666
2021,TOUR Championship,25,Patrick Reed,445000
2021,TOUR Championship,26,Collin Morikawa,425000
2021,TOUR Championship,26,Hideki Matsuyama,425000
2021,TOUR Championship,26,Stewart Cink,425000
2021,TOUR Championship,29,Joaquin Niemann,405000
