map_event,event_id,event_name,calendar_year,season
3M Open,525,3M Open,2019,2019
3M Open,525,3M Open,2020,2020
3M Open,525,3M Open,2021,2021
3M Open,525,3M Open,2022,2022
A Military Tribute at The Greenbrier,490,A Military Tribute at The Greenbrier,2018,2018
A Military Tribute at The Greenbrier,490,A Military Tribute at The Greenbrier,2019,2020
Arnold Palmer Invitational presented by Mastercard,9,Arnold Palmer Invitational presented by Mastercard,2017,2017
Arnold Palmer Invitational presented by Mastercard,9,Arnold Palmer Invitational presented by Mastercard,2018,2018
Arnold Palmer Invitational presented by Mastercard,9,Arnold Palmer Invitational presented by Mastercard,2019,2019
Arnold Palmer Invitational presented by Mastercard,9,Arnold Palmer Invitational presented by Mastercard,2020,2020
Arnold Palmer Invitational presented by Mastercard,9,Arnold Palmer Invitational presented by Mastercard,2021,2021
Arnold Palmer Invitational presented by Mastercard,9,Arnold Palmer Invitational presented by Mastercard,2022,2022
Arnold Palmer Invitational presented by Mastercard,9,Arnold Palmer Invitational presented by Mastercard,2023,2023
AT&T Byron Nelson,19,AT&T Byron Nelson,2017,2017
AT&T Byron Nelson,19,AT&T Byron Nelson,2018,2018
AT&T Byron Nelson,19,AT&T Byron Nelson,2019,2019
AT&T Byron Nelson,19,AT&T Byron Nelson,2021,2021
AT&T Byron Nelson,19,AT&T Byron Nelson,2022,2022
AT&T Byron Nelson,19,AT&T Byron Nelson,2023,2023
AT&T Pebble Beach Pro-Am,5,AT&T Pebble Beach Pro-Am,2017,2017
AT&T Pebble Beach Pro-Am,5,AT&T Pebble Beach Pro-Am,2018,2018
AT&T Pebble Beach Pro-Am,5,AT&T Pebble Beach Pro-Am,2019,2019
AT&T Pebble Beach Pro-Am,5,AT&T Pebble Beach Pro-Am,2020,2020
AT&T Pebble Beach Pro-Am,5,AT&T Pebble Beach Pro-Am,2021,2021
AT&T Pebble Beach Pro-Am,5,AT&T Pebble Beach Pro-Am,2022,2022
AT&T Pebble Beach Pro-Am,5,AT&T Pebble Beach Pro-Am,2023,2023
Barbasol Championship,518,Barbasol Championship,2017,2017
Barbasol Championship,518,Barbasol Championship,2018,2018
Barbasol Championship,518,Barbasol Championship,2019,2019
Barbasol Championship,518,Barbasol Championship,2021,2021
Barbasol Championship,518,Barbasol Championship,2022,2022
Barracuda Championship,472,Barracuda Championship,2017,2017
Barracuda Championship,472,Barracuda Championship,2018,2018
Barracuda Championship,472,Barracuda Championship,2019,2019
Barracuda Championship,472,Barracuda Championship,2020,2020
Barracuda Championship,472,Barracuda Championship,2021,2021
Barracuda Championship,472,Barracuda Championship,2022,2022
Bermuda Championship,528,Bermuda Championship,2019,2020
Bermuda Championship,528,Bermuda Championship,2020,2021
BMW Championship,28,BMW PGA Championship,2016,2017
BMW Championship,28,BMW Championship,2017,2018
BMW Championship,28,BMW Championship,2018,2019
BMW Championship,28,BMW Championship,2019,2020
BMW Championship,28,BMW Championship,2020,2021
BMW Championship,28,BMW Championship,2021,2022
BMW Championship,28,BMW Championship,2022,2023
Butterfield Bermuda Championship,528,Butterfield Bermuda Championship,2021,2022
Butterfield Bermuda Championship,528,Butterfield Bermuda Championship,2022,2023
Cadence Bank Houston Open,20,Cadence Bank Houston Open,2022,2023
CareerBuilder Challenge,2,CareerBuilder Challenge,2017,2017
CareerBuilder Challenge,2,CareerBuilder Challenge,2018,2018
Charles Schwab Challenge,21,Charles Schwab Challenge,2019,2019
Charles Schwab Challenge,21,Charles Schwab Challenge,2020,2020
Charles Schwab Challenge,21,Charles Schwab Challenge,2021,2021
Charles Schwab Challenge,21,Charles Schwab Challenge,2022,2022
Charles Schwab Challenge,21,Charles Schwab Challenge,2023,2023
CIMB Classic,494,CIMB Classic,2016,2017
CIMB Classic,494,CIMB Classic,2017,2018
CIMB Classic,494,CIMB Classic,2018,2019
Corales Puntacana Championship,522,Corales Puntacana Championship,2022,2022
Corales Puntacana Championship,522,Corales Puntacana Championship,2023,2023
Corales Puntacana Resort & Club Championship,522,Corales Puntacana Resort & Club Championship,2018,2018
Corales Puntacana Resort & Club Championship,522,Corales Puntacana Resort & Club Championship,2019,2019
Corales Puntacana Resort & Club Championship (2020),522,Corales Puntacana Resort & Club Championship,2020,2021
Corales Puntacana Resort & Club Championship (2021),534,Corales Puntacana Resort & Club Championship #2,2021,2021
DEAN & DELUCA Invitational,21,DEAN & DELUCA Invitational,2017,2017
Dell Technologies Championship,505,Dell Technologies Championship,2016,2017
Dell Technologies Championship,505,Dell Technologies Championship,2017,2018
Desert Classic,2,Desert Classic,2019,2019
Farmers Insurance Open,4,Farmers Insurance Open,2017,2017
Farmers Insurance Open,4,Farmers Insurance Open,2018,2018
Farmers Insurance Open,4,Farmers Insurance Open,2019,2019
Farmers Insurance Open,4,Farmers Insurance Open,2020,2020
Farmers Insurance Open,4,Farmers Insurance Open,2021,2021
Farmers Insurance Open,4,Farmers Insurance Open,2022,2022
Farmers Insurance Open,4,Farmers Insurance Open,2023,2023
FedEx St. Jude Championship,27,FedEx St. Jude Championship,2022,2022
FedEx St. Jude Classic,25,FedEx St. Jude Classic,2017,2017
FedEx St. Jude Classic,25,FedEx St. Jude Classic,2018,2018
Fort Worth Invitational,21,Fort Worth Invitational,2018,2018
Fortinet Championship,464,Fortinet Championship,2021,2022
Fortinet Championship,464,Fortinet Championship,2022,2023
Genesis Open,7,Genesis Open,2017,2017
Genesis Open,7,Genesis Open,2018,2018
Genesis Open,7,Genesis Open,2019,2019
Genesis Scottish Open,541,Genesis Scottish Open,2022,2022
Hewlett Packard Enterprise Houston Open,20,Hewlett Packard Enterprise Houston Open,2021,2022
Houston Open,20,Houston Open,2018,2018
Houston Open,20,Houston Open,2019,2020
John Deere Classic,30,John Deere Classic,2017,2017
John Deere Classic,30,John Deere Classic,2018,2018
John Deere Classic,30,John Deere Classic,2019,2019
John Deere Classic,30,John Deere Classic,2021,2021
John Deere Classic,30,John Deere Classic,2022,2022
John Deere Classic,30,John Deere Classic,2023,2023
Masters Tournament,14,Masters Tournament,2017,2017
Masters Tournament,14,Masters Tournament,2018,2018
Masters Tournament,14,The Masters,2019,2019
Masters Tournament,14,The Masters,2022,2022
Masters Tournament,14,Masters Tournament,2023,2023
Masters Tournament (2020),14,The Masters,2020,2021
Masters Tournament (2021),536,The Masters #2,2021,2021
Mayakoba Golf Classic,457,Mayakoba Golf Classic,2018,2019
Mayakoba Golf Classic,457,Mayakoba Golf Classic,2019,2020
Mayakoba Golf Classic presented by UNIFIN,457,Mayakoba Golf Classic presented by UNIFIN,2020,2021
Mexico Open at Vidanta,540,Mexico Open at Vidanta,2022,2022
Mexico Open at Vidanta,540,Mexico Open at Vidanta,2023,2023
OHL Classic at Mayakoba,457,OHL Classic at Mayakoba,2017,2017
OHL Classic at Mayakoba,457,OHL Classic at Mayakoba,2017,2018
Palmetto Championship at Congaree,538,Palmetto Championship at Congaree,2021,2021
PGA Championship,33,PGA Championship,2017,2017
PGA Championship,33,PGA Championship,2018,2018
PGA Championship,33,PGA Championship,2019,2019
PGA Championship,33,PGA Championship,2020,2020
PGA Championship,33,PGA Championship,2021,2021
PGA Championship,33,PGA Championship,2022,2022
PGA Championship,33,PGA Championship,2023,2023
Puerto Rico Open,483,Puerto Rico Open,2017,2017
Puerto Rico Open,483,Puerto Rico Open,2019,2019
Puerto Rico Open,483,Puerto Rico Open,2020,2020
Puerto Rico Open,483,Puerto Rico Open,2021,2021
Puerto Rico Open,483,Puerto Rico Open,2022,2022
Puerto Rico Open,483,Puerto Rico Open,2023,2023
