"","dg_id","player_name","tour_rounds","dg_player_name","espn_id","birthdate","birthplace","college","swing","turned_pro","link"
"1",7881,"Kang, Sung",538,NA,NA,NA,NA,NA,NA,NA,NA
"2",13497,"Lee, Kyoung-Hoon",239,NA,NA,NA,NA,NA,NA,NA,NA
"3",17786,"Davis, Cameron",219,NA,NA,NA,NA,NA,NA,NA,NA
"4",13497,"Lee, K.H.",199,NA,NA,NA,NA,NA,NA,NA,NA
"5",17786,"Davis, Cam",171,NA,NA,NA,NA,NA,NA,NA,NA
"6",17584,"McCumber, Tyler",163,"McCumber, Tyler",9002,NA,NA,NA,"Right",NA,"https://www.espn.com/golf/player/_/id/9002/tyler-mccumber"
"7",12909,"Campos, Rafael",133,"Campos, Rafael",3683,NA,NA,NA,"Right",NA,"https://www.espn.com/golf/player/_/id/3683/rafael-campos"
"8",14036,"Sucher, Zack",128,"Sucher, Zack",4708,NA,NA,NA,"Right",NA,"https://www.espn.com/golf/player/_/id/4708/zack-sucher"
"9",14837,"Randolph, Jonathan",122,"Randolph, Jonathan",5578,NA,NA,NA,"Right",NA,"https://www.espn.com/golf/player/_/id/5578/jonathan-randolph"
"10",16382,"Knous, Jim",122,"Knous, Jim",6894,NA,"Basalt, Colorado","Colorado Mines","Right",2012,"https://www.espn.com/golf/player/_/id/6894/jim-knous"
"11",13342,"Gibson, Rhein",114,"Gibson, Rhein",3948,NA,NA,"Oklahoma Christian U","Right",2010,"https://www.espn.com/golf/player/_/id/3948/rhein-gibson"
"12",14776,"Cappelen, Sebastian",113,"Cappelen, Sebastian",9564,NA,NA,NA,"Right",NA,"https://www.espn.com/golf/player/_/id/9564/sebastian-cappelen"
"13",13971,"Baker, Chris",111,"Baker, Chris",4628,NA,NA,NA,"Right",NA,"https://www.espn.com/golf/player/_/id/4628/chris-baker"
"14",19909,"Gellerman, Michael",95,"Gellerman, Michael",10065,NA,NA,NA,"Right",NA,"https://www.espn.com/golf/player/_/id/10065/michael-gellerman"
"15",26096,"Bhatia, Akshay",95,NA,NA,NA,NA,NA,NA,NA,NA
"16",15239,"Ledesma, Nelson",94,"Ledesma, Nelson",6677,NA,NA,NA,"Right",NA,"https://www.espn.com/golf/player/_/id/6677/nelson-ledesma"
"17",18869,"Lamb, Rick",84,"Lamb, Rick",9691,NA,NA,NA,"Right",NA,"https://www.espn.com/golf/player/_/id/9691/rick-lamb"
"18",20730,"Perez, Victor",79,NA,NA,NA,NA,NA,NA,NA,NA
"19",16841,"Lee, Min Woo",73,NA,NA,NA,NA,NA,NA,NA,NA
"20",14368,"Janewattananond, Jazz",71,NA,NA,NA,NA,NA,NA,NA,NA
"21",28558,"Werbylo, Trevor",70,"Werbylo, Trevor",4869640,NA,"Tucson, Arizona","Arizona","Right",2021,"https://www.espn.com/golf/player/_/id/4869640/trevor-werbylo"
