"dg_id","player_name","tour_rounds","dg_player_name","espn_id","birthdate","birthplace","college","swing","turned_pro","link"
7881,"Kang, Sung",538,,,,,,,,
13497,"Lee, Kyoung-Hoon",239,,,,,,,,
17786,"Davis, Cameron",219,,,,,,,,
13497,"Lee, K.H.",199,,,,,,,,
17786,"Davis, Cam",171,,,,,,,,
17584,"McCumber, Tyler",163,"McCumber, Tyler",9002,,,,"Right",,"https://www.espn.com/golf/player/_/id/9002/tyler-mccumber"
12909,"Campos, Rafael",133,"Campos, Rafael",3683,,,,"Right",,"https://www.espn.com/golf/player/_/id/3683/rafael-campos"
14036,"Sucher, Zack",128,"Sucher, Zack",4708,,,,"Right",,"https://www.espn.com/golf/player/_/id/4708/zack-sucher"
14837,"Randolph, Jonathan",122,"Randolph, Jonathan",5578,,,,"Right",,"https://www.espn.com/golf/player/_/id/5578/jonathan-randolph"
16382,"Knous, Jim",122,"Knous, Jim",6894,,"Basalt, Colorado","Colorado Mines","Right",2012,"https://www.espn.com/golf/player/_/id/6894/jim-knous"
13342,"Gibson, Rhein",114,"Gibson, Rhein",3948,,,"Oklahoma Christian U","Right",2010,"https://www.espn.com/golf/player/_/id/3948/rhein-gibson"
14776,"Cappelen, Sebastian",113,"Cappelen, Sebastian",9564,,,,"Right",,"https://www.espn.com/golf/player/_/id/9564/sebastian-cappelen"
13971,"Baker, Chris",111,"Baker, Chris",4628,,,,"Right",,"https://www.espn.com/golf/player/_/id/4628/chris-baker"
19909,"Gellerman, Michael",95,"Gellerman, Michael",10065,,,,"Right",,"https://www.espn.com/golf/player/_/id/10065/michael-gellerman"
26096,"Bhatia, Akshay",95,,,,,,,,
15239,"Ledesma, Nelson",94,"Ledesma, Nelson",6677,,,,"Right",,"https://www.espn.com/golf/player/_/id/6677/nelson-ledesma"
18869,"Lamb, Rick",84,"Lamb, Rick",9691,,,,"Right",,"https://www.espn.com/golf/player/_/id/9691/rick-lamb"
20730,"Perez, Victor",79,,,,,,,,
16841,"Lee, Min Woo",73,,,,,,,,
14368,"Janewattananond, Jazz",71,,,,,,,,
28558,"Werbylo, Trevor",70,"Werbylo, Trevor",4869640,,"Tucson, Arizona","Arizona","Right",2021,"https://www.espn.com/golf/player/_/id/4869640/trevor-werbylo"
19552,"Tracy, Ethan",68,"Tracy, Ethan",10375,,,,"Right",,"https://www.espn.com/golf/player/_/id/10375/ethan-tracy"
10886,"Harding, Justin",66,,,,,,,,
7292,"Molder, Bryce",64,,,,,,,,
13485,"Imahira, Shugo",62,,,,,,,,
17881,"Yu, Kevin",61,"Yu, Kevin",4349547,,,,"Right",,"https://www.espn.com/golf/player/_/id/4349547/kevin-yu"
17266,"Yuan, Carl",58,,,,,,,,
12414,"Schnell, Brady",55,"Schnell, Brady",3446,,,,"Right",,"https://www.espn.com/golf/player/_/id/3446/brady-schnell"
17081,"Sharma, Shubhankar",54,,,,,,,,
19190,"Hoshino, Rikuya",52,,,,,,,,
19864,"Hammer, Cole",52,,,,,,,,
23606,"Meyer, Dylan",50,,,,,,,,
15614,"Yun, Andrew",49,"Yun, Andrew",6067,,,,"Right",,"https://www.espn.com/golf/player/_/id/6067/andrew-yun"
15326,"Sullivan, Andy",48,"Sullivan, Andy",5956,,,,"Right",,"https://www.espn.com/golf/player/_/id/5956/andy-sullivan"
18059,"Suri, Julian",48,,,,,,,,
23838,"Hojgaard, Rasmus",46,,,,,,,,
19729,"Kanaya, Takumi",44,,,,,,,,
29767,"Gerard, Ryan",44,,,,,,,,
14666,"Johnston, Andrew",42,"Johnston, Andrew",5838,,,,"Right",,"https://www.espn.com/golf/player/_/id/5838/andrew-johnston"
23602,"Hojgaard, Nicolai",40,,,,,,,,
